name,smiles,max_phase,atc,disease
DIHYDROCODEINE,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,4.0,N02AA08;N02AA58,CNS (other)
PITOLISANT,Clc1ccc(CCCOCCCN2CCCCC2)cc1,4.0,N07XX11,Other CNS
NEFOPAM,CN1CCOC(c2ccccc2)c2ccccc2C1,4.0,N02BG06,CNS (other)
SODIUM SALICYLATE,O=C([O-])c1ccccc1O.[Na+],1.0,N02BA04,CNS (other)
PALIPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,4.0,N05AX13,Psychosis
VINBARBITAL,CC/C=C(\C)C1(CC)C(=O)NC(=O)NC1=O,4.0,N05CA09,CNS (other)
HEPTABARBITAL,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,4.0,N05CA11,CNS (other)
AMBENONIUM,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,4.0,N07AA30,Other CNS
DEZOCINE,C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N,4.0,N02AX03,CNS (other)
CYTISINICLINE,O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,3.0,N07BA04,Other CNS
DIHYDROERGOTAMINE,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,4.0,N02CA01;N02CA51,CNS (other)
PIRITRAMIDE,N#CC(CCN1CCC(C(N)=O)(N2CCCCC2)CC1)(c1ccccc1)c1ccccc1,3.0,N02AC03,CNS (other)
SCOPOLAMINE,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,4.0,A04AD51;A04AD01;N05CM05;S01FA02,CNS (other)
LEVOMEPROMAZINE,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,4.0,N05AA02,Psychosis
THIOPROPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,2.0,N05AB08,Psychosis
BRIVARACETAM,CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,4.0,N03AX23,Epilepsy
VALNOCTAMIDE,CCC(C)C(CC)C(N)=O,3.0,N05CM13,CNS (other)
PROPENTOFYLLINE,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,2.0,N06BC02,Cognition/ADHD
VARENICLINE,c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1,4.0,N07BA03;S01XA28,Other CNS
ROPIVACAINE,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,4.0,N01BB09,CNS (other)
OPICAPONE,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,4.0,N04BX04,Parkinson's
PHENGLUTARIMIDE,CCN(CC)CCC1(c2ccccc2)CCC(=O)NC1=O,2.0,N04AA09,Parkinson's
CAMAZEPAM,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,2.0,N05BA15,Anxiety
SUVOREXANT,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1,4.0,N05CJ01,CNS (other)
CHLOROPROCAINE,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,4.0,N01BA04;S01HA08,CNS (other)
RIMAZOLIUM,CCOC(=O)c1c[n+](C)c2n(c1=O)C(C)CCC2,2.0,N02BG02,CNS (other)
BIFEMELANE,CNCCCCOc1ccccc1Cc1ccccc1,2.0,N06AX08,Depression
DISTIGMINE,CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,4.0,N07AA03,Other CNS
QUAZEPAM,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,4.0,N05CD10,CNS (other)
SODIUM OXYBATE,O=C([O-])CCCO.[Na+],4.0,N01AX11;N07XX04,Other CNS
SEVOFLURANE,FCOC(C(F)(F)F)C(F)(F)F,4.0,N01AB08,CNS (other)
DESFLURANE,FC(F)OC(F)C(F)(F)F,4.0,N01AB07,CNS (other)
METHYPRYLON,CCC1(CC)C(=O)NCC(C)C1=O,4.0,N05CE02,CNS (other)
TALBUTAL,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,4.0,N05CA07,CNS (other)
MEBUTAMATE,CCC(C)C(C)(COC(N)=O)COC(N)=O,4.0,N05BC04,Anxiety
ORPHENADRINE HYDROCHLORIDE,Cc1ccccc1C(OCCN(C)C)c1ccccc1.Cl,4.0,N04AB02,Parkinson's
CABERGOLINE,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,4.0,G02CB03;N04BC06,Parkinson's
