inchikey,canonical_smiles,source,source_id,role,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
UXIGZRQVLGFTOU-VQXQMPIVSA-N,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,DrugBank,DB00212,evaluation,False,630.85,3.096,161.48,5,7,15,2,0.667,0.202
IQPSEEYGBUAQFF-UHFFFAOYSA-N,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,DrugBank,DB00213,evaluation,False,383.38,2.884,86.33,1,6,7,3,0.25,0.675
NGBFQHCMQULJNZ-UHFFFAOYSA-N,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,DrugBank,DB00214,evaluation,False,348.43,2.53,100.19,3,5,5,2,0.25,0.771
WSEQXVZVJXJVFP-UHFFFAOYSA-N,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,DrugBank,DB00215,evaluation,False,324.4,3.813,36.26,0,3,5,2,0.35,0.839
PWVXXGRKLHYWKM-LJQANCHMSA-N,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,DrugBank,DB00216,evaluation,False,382.53,3.821,53.17,1,3,6,3,0.364,0.705
NIVZHWNOUVJHKV-UHFFFAOYSA-N,C/N=C(\NC)NCc1ccccc1,DrugBank,DB00217,evaluation,False,177.25,0.981,36.42,2,1,2,1,0.3,0.522
FABPRXSRWADJSP-MEDUHNTESA-N,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,DrugBank,DB00218,evaluation,False,401.44,2.371,83.8,2,5,4,2,0.524,0.819
GFRUPHOKLBPHTQ-UHFFFAOYSA-N,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,DrugBank,DB00219,evaluation,False,348.51,3.484,46.53,1,3,8,1,0.667,0.578
QAGYKUNXZHXKMR-HKWSIXNMSA-N,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,DrugBank,DB00220,evaluation,False,567.8,4.748,101.9,4,6,9,2,0.562,0.327
HUYWAWARQUIQLE-UHFFFAOYSA-N,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,DrugBank,DB00221,evaluation,False,239.31,1.908,72.72,4,4,5,1,0.538,0.592
WIGIZIANZCJQQY-RUCARUNLSA-N,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,DrugBank,DB00222,evaluation,False,490.63,3.074,124.68,3,5,7,1,0.542,0.542
WXURHACBFYSXBI-XHIJKXOTSA-N,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,DrugBank,DB00223,evaluation,False,410.46,1.844,94.83,3,5,2,0,0.727,0.646
CBVCZFGXHXORBI-PXQQMZJSSA-N,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,DrugBank,DB00224,evaluation,False,613.8,2.867,118.03,4,7,11,3,0.472,0.263
RZESKRXOCXWCFX-UHFFFAOYSA-K,CNC(=O)CN(CCN(CCN(CC(=O)[O-])CC(=O)NC)CC(=O)[O-])CC(=O)[O-],DrugBank,DB00225,evaluation,False,416.41,-7.366,188.31,2,11,16,0,0.688,0.243
HPBNRIOWIXYZFK-UHFFFAOYSA-N,NC(N)=NCC1COC2(CCCCC2)O1,DrugBank,DB00226,evaluation,False,213.28,0.336,82.86,2,3,2,0,0.9,0.511
PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,DrugBank,DB00227,evaluation,False,404.55,4.196,72.83,1,5,6,0,0.75,0.672
JPGQOUSTVILISH-UHFFFAOYSA-N,FC(F)OC(F)(F)C(F)Cl,DrugBank,DB00228,evaluation,False,184.49,2.353,9.23,0,1,3,0,1.0,0.483
QYQDKDWGWDOFFU-IUODEOHRSA-N,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,DrugBank,DB00229,evaluation,False,525.64,-0.653,172.46,3,12,10,2,0.5,0.265
AYXYPKUFHZROOJ-ZETCQYMHSA-N,CC(C)C[C@H](CN)CC(=O)O,DrugBank,DB00230,evaluation,False,159.23,1.082,63.32,2,2,5,0,0.875,0.631
SEQDDYPDSLOBDC-UHFFFAOYSA-N,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,DrugBank,DB00231,evaluation,False,300.75,2.472,52.9,1,3,1,2,0.125,0.879
