endpoint,panel,mode,split,fold,n_train,n_test,n_positive_test,n_scaffolds_test,roc_auc,pr_auc,mcc,f1,balanced_acc,n_total,n_positive,n_decoy,n_measured_inactive_train
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,8,5364,596,164,404.0,0.9949045844625113,0.9916353764573722,0.9241541049192635,0.9423076923076923,0.9470133242999097,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,9,5364,596,122,404.0,0.9931348135851145,0.9742183038055959,0.8678582884910538,0.8908296943231441,0.9127585252818704,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,10,5364,596,151,404.0,0.9960264900662252,0.993040747878356,0.968856220011208,0.9764309764309764,0.9790088548255078,5960,1490,4019,451
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,random,1,10695,1189,298,,0.9980227329220618,0.9945663447671981,0.9485623643966754,0.9614740368509213,0.9748096174270671,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,random,2,10695,1189,297,,0.99619890987604,0.9887465295171184,0.9487343199006869,0.9616026711185309,0.9770009512161979,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,random,3,10695,1189,297,,0.9978522142199272,0.9943274213718977,0.9374852916880122,0.9531772575250836,0.9708293699325089,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,random,4,10695,1189,297,,0.9975615648261389,0.9930133377501245,0.9376712710990718,0.9533333333333334,0.9719523334994187,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,random,5,10696,1188,297,,0.9957789643535996,0.9912191195816352,0.9439485610753973,0.957983193277311,0.9725028058361391,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,random,6,10696,1188,297,,0.9961266235115842,0.9911157415997537,0.9504332459494491,0.9627118644067797,0.9730639730639731,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,random,7,10696,1188,297,,0.9981067691505401,0.9932940010025657,0.9595959595959596,0.9696969696969697,0.9797979797979799,11884,2971,8632,281
