endpoint,panel,mode,split,fold,n_train,n_test,n_positive_test,n_scaffolds_test,roc_auc,pr_auc,mcc,f1,balanced_acc,n_total,n_positive,n_decoy,n_measured_inactive_train
H3,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,10,11564,1284,346,826.0,0.9990170945437962,0.9974492064943076,0.962267009176576,0.9720998531571219,0.9761915032599184,12848,3212,9548,88
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,1,10998,1222,306,,0.9978736763992351,0.992988234826635,0.9570950643533908,0.9678456591639871,0.9836422924337129,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,2,10998,1222,306,,0.9977880526300769,0.9913478787151199,0.9579503420670193,0.9682539682539683,0.9879948340325941,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,3,10998,1222,306,,0.998319633530268,0.9953932413074325,0.9362742008381882,0.9522292993630573,0.9760075063504295,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,4,10998,1222,306,,0.9977880526300767,0.9934341035934489,0.95467890740279,0.9660743134087237,0.9809201701058881,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,5,10998,1222,306,,0.999118788709079,0.9973639262601145,0.9516630802749023,0.9635499207606973,0.985269144047721,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,6,10998,1222,305,,0.9983910470708117,0.9949201067743232,0.9510598734589651,0.9632,0.9830827538123246,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,7,10998,1222,305,,0.9989666946743658,0.9969021028864049,0.950831659123096,0.9630818619582665,0.9819886658204766,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,8,10998,1222,305,,0.9977832204086741,0.994421926862205,0.9415725228268613,0.9562398703403565,0.9743372007794483,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,9,10998,1222,305,,0.9986592058923431,0.9958584822142604,0.9696972773381987,0.9772727272727273,0.9879900602463486,12220,3055,8880,285
