endpoint,task,split,fold,n_test,n_train,n_scaffolds_test,positives_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
hERG,classification,scaffold,1,588,5287,336,245.0,0.8599393110013684,0.8196721297994362,0.49399758445297903,0.6635294117647059,0.7309037900874635,,,,
hERG,classification,scaffold,2,588,5287,336,279.0,0.9501977705861201,0.9474621052667259,0.7475592454317375,0.8571428571428571,0.869245223927341,,,,
hERG,classification,scaffold,3,588,5287,338,239.0,0.9303928738415795,0.9082403328140995,0.691437330574234,0.8129032258064516,0.8423888935512103,,,,
hERG,classification,scaffold,4,588,5287,338,217.0,0.9404896468630057,0.9183315515020112,0.7152371717183531,0.8135593220338984,0.8493609251369446,,,,
hERG,classification,scaffold,5,588,5287,339,244.0,0.9401091307662982,0.9342739606993915,0.7618577553615156,0.851528384279476,0.8719738848646588,,,,
hERG,classification,scaffold,6,587,5288,338,257.0,0.9455606650159178,0.9384016405866356,0.7230124583789506,0.8360655737704918,0.8559780686239831,,,,
hERG,classification,scaffold,7,587,5288,338,214.0,0.8564931973641352,0.7999241749152847,0.5456436462314865,0.6982543640897756,0.7641001227731703,,,,
hERG,classification,scaffold,8,587,5288,338,251.0,0.9057104913678619,0.898629038985201,0.6381051903614731,0.7719298245614035,0.807442847656991,,,,
hERG,classification,scaffold,9,587,5288,338,248.0,0.939754020363498,0.9139244327776769,0.6799066649336363,0.7955555555555556,0.8269637929393854,,,,
hERG,classification,scaffold,10,587,5288,338,234.0,0.9392145468632721,0.9180508282977242,0.7578329021224454,0.8440366972477065,0.8676666424541779,,,,
D2,regression,random,1,774,6960,593,,,,,,,0.6120619509349846,0.5882212057521821,0.4184642100200138,0.7738761982803418
D2,regression,random,2,774,6960,601,,,,,,,0.6151090438322442,0.6069414545446039,0.44830230359628626,0.7891372438243263
D2,regression,random,3,774,6960,613,,,,,,,0.5978233469131538,0.5860860533554325,0.4268178351083313,0.7630836041853615
D2,regression,random,4,774,6960,595,,,,,,,0.5632566576476163,0.6138357093788152,0.43722969325700756,0.7564122430367637
D2,regression,random,5,773,6961,594,,,,,,,0.5967547963174523,0.5967888408853689,0.4154820926129352,0.7847320080026241
D2,regression,random,6,773,6961,597,,,,,,,0.5870717541095472,0.5869335309033954,0.4182590310701288,0.7690572995872623
D2,regression,random,7,773,6961,571,,,,,,,0.6270652836440018,0.6025200167622852,0.4207655074000193,0.7817911452571147
D2,regression,random,8,773,6961,596,,,,,,,0.6129457731650143,0.5708206373074585,0.41031193316311854,0.7813032935130292
D2,regression,random,9,773,6961,599,,,,,,,0.5954835167625008,0.6155132699079082,0.4366350854634322,0.7874081252385794
D2,regression,random,10,773,6961,605,,,,,,,0.6043196936795907,0.5819562127435787,0.4205228254237498,0.7851911270706514
D2,regression,scaffold,1,774,6960,331,,,,,,,0.3969028949356298,0.7597990448763963,0.5360295441141715,0.6565357007444282
D2,regression,scaffold,2,774,6960,333,,,,,,,0.47475345581913875,0.7353397696948284,0.5271980571811313,0.7182110044508454
D2,regression,scaffold,3,774,6960,333,,,,,,,0.42406749125092513,0.6708328325696085,0.48909109784767335,0.6510345852604262
D2,regression,scaffold,4,774,6960,334,,,,,,,0.5217198795541211,0.6786198197753055,0.49510428753119534,0.7042316727670678
D2,regression,scaffold,5,773,6961,333,,,,,,,0.5122207664381445,0.6412842152477078,0.4544956832882752,0.7145838205510033
