endpoint,task,split,fold,n_train,n_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
MAO_A,classification,scaffold,2,3226,359,0.9226203323980142,0.8547446729589184,0.6036705965096395,0.6551724137931034,0.744082308079718,,,,
MAO_A,classification,scaffold,3,3226,359,0.8965650493774152,0.7594864108035639,0.5210694553060179,0.5555555555555556,0.6949334478316874,,,,
MAO_A,classification,scaffold,4,3226,359,0.9433772213828333,0.8958567779872545,0.6910488417647004,0.783410138248848,0.8374883085114037,,,,
MAO_A,classification,scaffold,5,3226,359,0.8872965641952983,0.7421883888878205,0.5580979554221381,0.6268656716417911,0.7426084990958408,,,,
MAO_A,classification,scaffold,6,3227,358,0.9401586157173757,0.8212015712060866,0.7361043186124159,0.7642276422764228,0.8166546503244412,,,,
MAO_A,classification,scaffold,7,3227,358,0.8493669572436696,0.6599049276759129,0.5403992904084001,0.6017699115044248,0.7353154836031548,,,,
MAO_A,classification,scaffold,8,3227,358,0.9007737576285963,0.7176754836983794,0.5442549277276517,0.5961538461538461,0.7314189189189189,,,,
MAO_A,classification,scaffold,9,3227,358,0.9085973618356873,0.7713636198151594,0.6566472867127616,0.7261146496815286,0.8036009670441532,,,,
MAO_A,classification,scaffold,10,3227,358,0.8756900818579858,0.8185797652472063,0.6514995995135348,0.73224043715847,0.7997525223681705,,,,
MAO_B,classification,random,1,4080,454,0.9594332298136645,0.9583672541417363,0.7810071811254157,0.8945147679324894,0.8894409937888199,,,,
MAO_B,classification,random,2,4080,454,0.9547166149068322,0.9595324656146264,0.7885825837370243,0.896551724137931,0.8941381987577639,,,,
MAO_B,classification,random,3,4080,454,0.9487189440993788,0.9485101841029157,0.7356344241533381,0.8701298701298701,0.8677600931677019,,,,
MAO_B,classification,random,4,4080,454,0.9670419254658386,0.9560829701347489,0.7902819879738675,0.8991596638655462,0.8937888198757764,,,,
MAO_B,classification,random,5,4081,453,0.9692958515283843,0.9705372977077826,0.7975643543386456,0.9017094017094017,0.8981986899563319,,,,
MAO_B,classification,random,6,4081,453,0.9717098849678298,0.9731903837180861,0.8286237683185312,0.9171974522292994,0.9135114057321115,,,,
MAO_B,classification,random,7,4081,453,0.9584714369272763,0.9626278062805909,0.7617024312247965,0.8841201716738197,0.8805615129654903,,,,
MAO_B,classification,random,8,4081,453,0.9693702476116203,0.9700956670167898,0.8277697642460348,0.9154013015184381,0.9138526028465588,,,,
MAO_B,classification,random,9,4081,453,0.9625852992786118,0.9640959294091158,0.8056980292177038,0.9047619047619048,0.9027783193604991,,,,
MAO_B,classification,random,10,4081,453,0.9684538896471047,0.9711947051554893,0.806090734384967,0.905982905982906,0.9025736010918308,,,,
MAO_B,classification,scaffold,1,4080,454,0.9226467847157502,0.9084609623381219,0.7145255248614708,0.8595744680851064,0.8558170239204722,,,,
MAO_B,classification,scaffold,2,4080,454,0.8794201135442011,0.8067240966990366,0.6129020300277225,0.7507507507507507,0.7961273317112734,,,,
MAO_B,classification,scaffold,3,4080,454,0.9327460546327204,0.9441384308195894,0.6805706440855311,0.8667917448405253,0.8352031444429082,,,,
MAO_B,classification,scaffold,4,4080,454,0.9657723784664298,0.9725658235859138,0.8039762133731085,0.9123505976095617,0.9019881066865543,,,,
MAO_B,classification,scaffold,5,4081,453,0.9017864311521477,0.8714958013042281,0.6170237030765543,0.7741935483870968,0.8075070252910478,,,,
MAO_B,classification,scaffold,6,4081,453,0.8839714319166375,0.8808498674406882,0.6125936707214593,0.8070175438596491,0.8064044022948132,,,,
MAO_B,classification,scaffold,7,4081,453,0.9496423004676072,0.9604379260300786,0.738343672516568,0.8884615384615384,0.8701590663842372,,,,
MAO_B,classification,scaffold,8,4081,453,0.9393497536945813,0.9435566442679499,0.7048719360638543,0.8695652173913043,0.8513300492610838,,,,
MAO_B,classification,scaffold,9,4081,453,0.9010675321628281,0.8899389686114207,0.6114349123788877,0.7981651376146789,0.8061236460329253,,,,
MAO_B,classification,scaffold,10,4081,453,0.8935254051514915,0.889593637412643,0.6316190867516964,0.8302658486707567,0.815029750254443,,,,
hERG,classification,random,1,8939,994,0.9416751667976523,0.874398044531547,0.7584624197548084,0.8073394495412844,0.8561164713030005,,,,
hERG,classification,random,2,8939,994,0.9586810026252863,0.9075454330385737,0.7613069530830168,0.8091954022988506,0.8567769732845063,,,,
hERG,classification,random,3,8939,994,0.9544281502042818,0.8887748276385227,0.75619915822536,0.8072562358276644,0.858354374641183,,,,
hERG,classification,random,4,8940,993,0.9641238586386266,0.9082546450847166,0.7608930689604122,0.8074245939675174,0.8538610943674234,,,,
hERG,classification,random,5,8940,993,0.945041635969906,0.8875870579435311,0.7486534572593129,0.7962529274004684,0.8454222758020227,,,,
hERG,classification,random,6,8940,993,0.9561036322639698,0.9076509116760569,0.7729271247593692,0.8105515587529976,0.8492649521130533,,,,
hERG,classification,random,7,8940,993,0.962957381733753,0.9189609726663083,0.8059003616599143,0.8461538461538461,0.8826100060277275,,,,
hERG,classification,random,8,8940,993,0.9576217266090683,0.9090857400254237,0.7850195131822522,0.8210023866348448,0.8562554416984797,,,,
hERG,classification,random,9,8940,993,0.9605462907150673,0.9088293024348589,0.7736724449250763,0.8208616780045351,0.866644899872748,,,,
hERG,classification,random,10,8940,993,0.963805728573661,0.9256871998168281,0.7793109537061176,0.8246013667425968,0.8679676511954992,,,,
hERG,classification,scaffold,1,8939,994,0.9162584592382752,0.8462562920793555,0.57617934394188,0.6387665198237885,0.7368635898646522,,,,
hERG,classification,scaffold,2,8939,994,0.931190309806662,0.8548608941262273,0.6820876276547674,0.7467811158798283,0.8097833682739343,,,,
hERG,classification,scaffold,3,8939,994,0.940910950846504,0.8569165211969266,0.7195126978044706,0.7580174927113703,0.8209810239885428,,,,
hERG,classification,scaffold,4,8940,993,0.927297881974141,0.8472391340600663,0.6616237129651404,0.7410358565737052,0.8079589475272928,,,,
hERG,classification,scaffold,5,8940,993,0.9481279159730852,0.8626876497220051,0.7071780705286745,0.7506561679790026,0.8125190490704054,,,,
hERG,classification,scaffold,6,8940,993,0.9432647462277092,0.8745761325309614,0.7141524647285077,0.7630331753554502,0.819275720164609,,,,
hERG,classification,scaffold,7,8940,993,0.9405974361989886,0.8803294807126104,0.7324651848412991,0.7716535433070866,0.8250352816652946,,,,
hERG,classification,scaffold,8,8940,993,0.9212998206521037,0.821104105475131,0.6847824121156816,0.7294117647058823,0.8058204198547152,,,,
