inchikey,canonical_smiles,name,BBB_label,BBB_pchembl,AChE_label,AChE_pchembl,BChE_label,BChE_pchembl,BACE1_label,BACE1_pchembl,GSK3B_label,GSK3B_pchembl,MAO_A_label,MAO_A_pchembl,MAO_B_label,MAO_B_pchembl,D2_label,D2_pchembl,A2A_label,A2A_pchembl,HT2A_label,HT2A_pchembl,SERT_label,SERT_pchembl,hERG_label,hERG_pchembl,antioxidant_pIC50,n_endpoints_measured,role,sources,clinical_max_phase,atc,disease,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
AATNRUXRJQIOEV-UHFFFAOYSA-N,CCCN1C(=O)CC2(CCN(CC3CCN(C(=O)OCC)CC3)CC2)c2cccnc21,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.17,,1,training_label,ChEMBL_37,,,,False,428.58,3.43,65.98,0,5,5,1,0.708,0.719
AATWPLNNZKLWEK-UHFFFAOYSA-N,COc1ccc2c(=O)c3ccccc3oc2c1O,,,,,,,,,,,,0.0,4.75,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,242.23,2.66,59.67,1,4,1,3,0.071,0.666
AAUBXOLWHARFEP-UHFFFAOYSA-N,CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],,,,1.0,9.4,0.0,4.4,,,,,,,,,,,,,,,,,,,,2,training_label,ChEMBL_37,,,,False,611.76,3.493,131.14,0,6,17,3,0.562,0.099
AAUJOHNDSNOSKJ-HYARGMPZSA-N,Cc1ccc(/C=N/c2ccc(OCc3ccccc3)cc2)c(O)c1,,,,,,,,,,,,,,0.0,4.61,,,,,,,,,,,3.699,2,training_label,ChEMBL_37;ChEMBL_DPPH,,,,False,317.39,5.03,41.82,1,3,5,3,0.095,0.671
AAUQTTUTLFILEE-UHFFFAOYSA-N,COc1cc2nc(N)n3nc(C4CC(F)CN(c5cnn(C6CCOCC6)c5)C4)nc3c2cc1F,,,,,,,,,,,,,,,,,,1.0,7.955,,,,,,,,1,training_label,ChEMBL_37,,,,False,484.51,2.887,108.62,1,8,4,4,0.478,0.471
AAUYCVIXPYMWAL-LBZQVFOQSA-N,O=S(=O)(N[C@H]1CC[C@H](CCN2CCC(c3noc4cc(F)ccc34)CC2)CC1)c1ccc(Cl)cc1,,,,,,,,,,,,,,,,,,,,1.0,8.29,,,,,,1,training_label,ChEMBL_37,,,,False,520.07,5.727,75.44,1,5,7,3,0.5,0.431
AAVBFLAAVMARPI-UHFFFAOYSA-N,Nc1nc(C(=O)NCC23CC4CC(CC(C4)C2)C3)c2cccc(F)c2n1,,,,,,,,,,,,,,,,,,1.0,8.19,,,,,,,,1,training_label,ChEMBL_37,,,,False,354.43,3.297,80.9,2,4,3,2,0.55,0.886
AAVHPSORWPTXPA-UHFFFAOYSA-N,CC(C)(C)C(=O)N1CCc2cc(C3CC3NCC3CCNCC3)ccc21,,,,,,,,,,,,,,0.0,4.15,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,355.53,3.067,44.37,2,3,4,1,0.682,0.872
AAWPKTSUNVJJFB-IOTVGOTFSA-N,CC#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(NC(=O)c3ccccc3)=N4)c2)cn1,,,,,,,,1.0,9.54,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,641.68,5.279,105.49,1,9,7,4,0.212,0.272
AAWSEFDIDJLXJF-JTSKRJEESA-N,CN1C(=N)N[C@@]2(c3cc(-c4cccc(C#N)c4)cs3)CN(c3ncccn3)C[C@H]2C1=O,,,,,,,,1.0,7.96,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,429.51,2.405,109.0,2,7,3,3,0.227,0.662
