# WHAT THIS FILE CONTAINS: Every one of 161,812 distinct training structures as a row, with the 12 named physicochemical descriptors as columns and a count of how many of the 1024 fingerprint bits it sets. 2 structures could not be parsed by RDKit and are absent.
# WHAT IT IS USED FOR: Seeing the chemical space the models were fitted over, at a width that opens in a spreadsheet.
# GENERATED FROM: data/endpoints/ featurised by src/brainsafe/features/featurize.py
smiles,ecfp4_bits_set,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,ring_count,heavy_atoms,formal_charge,qed
Brc1cc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn2c1,51,377.246,1.7543,67.05,1.0,6.0,1.0,2.0,0.53333336,6.0,23.0,0.0,0.82052624
Brc1cc2c(s1)CCC(NCCCCc1ccccc1)CC2,41,378.379,5.3705,12.03,1.0,2.0,6.0,2.0,0.47368422,3.0,22.0,0.0,0.52636135
Brc1cc2c(s1)CCC(NCCCc1ccccc1)CC2,40,364.352,4.9804,12.03,1.0,2.0,5.0,2.0,0.44444445,3.0,21.0,0.0,0.5828234
Brc1ccc(-[n+]2cc[n+](Cc3ccccc3)cc2)c2cc[nH]c12,38,366.262,3.5429,23.55,1.0,0.0,3.0,4.0,0.05263158,4.0,23.0,2.0,0.5365402
Brc1ccc(-c2cc3ccccc3o2)cc1,26,273.129,4.8623,13.14,0.0,1.0,1.0,3.0,0.0,3.0,16.0,0.0,0.6165684
Brc1ccc(-c2csc(N/N=C/c3ccc(N4CCCC4)cc3)n2)cc1,46,427.371,5.6188,40.52,1.0,5.0,5.0,3.0,0.2,4.0,26.0,0.0,0.42459166
Brc1ccc(-c2csc(N/N=C/c3ccc(N4CCOCC4)cc3)n2)cc1,48,443.37,4.8552,49.75,1.0,6.0,5.0,3.0,0.2,4.0,27.0,0.0,0.4523861
Brc1ccc(-c2nc(-c3ccc4nc[nH]c4c3)no2)cc1,36,341.168,4.0424,67.6,1.0,4.0,2.0,4.0,0.0,4.0,21.0,0.0,0.5974243
Brc1ccc(-c2nc3ccc(N4CCCCC4)nc3o2)cc1,35,358.239,4.6426,42.16,0.0,4.0,2.0,3.0,0.29411766,4.0,22.0,0.0,0.6692175
Brc1ccc(-c2nn(-c3ccccc3)cc2-c2nnc(-c3ccncc3)o2)cc1,43,444.292,5.4138,69.63,0.0,5.0,4.0,5.0,0.0,5.0,29.0,0.0,0.37067515
Brc1ccc(-c2nnc(CSc3nnc(-c4ccncc4)o3)o2)cc1,37,416.26,4.2364,90.73,0.0,8.0,5.0,4.0,0.0625,4.0,25.0,0.0,0.44656882
Brc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,39,386.253,3.2207,58.29,0.0,6.0,3.0,3.0,0.23529412,4.0,24.0,0.0,0.6891538
Brc1ccc(-c2nnc(Nc3ncccn3)o2)cc1,32,318.134,3.0327,76.73,1.0,6.0,3.0,3.0,0.0,3.0,19.0,0.0,0.79971033
Brc1ccc(-c2nnn3c2C2c4ccccc4CCN2Cc2ccccc2-3)cc1,47,443.348,5.1579,33.95,0.0,3.0,1.0,4.0,0.16666667,6.0,29.0,0.0,0.40781364
